,Commodity Code,Value,Country of Origin,Invoice,Description,Quantity,Net Weight
0,42023100,572.29,Italy UE,2022/9/20788,small leather goods,7,0.07267332008188135
1,71179000,3152.0,Italy UE,2022/9/20789,Trinkets fantasy,20,0.40026263764540715
2,71131100,677.68,Italy UE,2022/9/20790,Silver Jewellery,4,0.08605646709376252
3,71179000,254.13,Italy UE,2022/9/20790,Trinkets fantasy,2,0.032271175160160946
4,96151900,10618.3,Italy UE,2022/9/20791,Pettini/cerchietti altri mat.,110,1.348384760567965
5,71131100,3014.1,Italy UE,2022/9/20792,Silver Jewellery,17,0.3827511472484206
6,71131100,1010.61,Italy UE,2022/9/20792,Silver Jewellery,6,0.12833420819505867
7,71179000,1211.55,Italy UE,2022/9/20792,Trinkets fantasy,6,0.15385095134495336
8,71179000,1211.55,Italy UE,2022/9/20792,Trinkets fantasy,6,0.15385095134495336
9,71179000,1329.75,Italy UE,2022/9/20792,Trinkets fantasy,10,0.16886080025665612
10,71179000,3058.43,Italy UE,2022/9/20792,Trinkets fantasy,23,0.38838047552469623
11,71179000,2462.5,Italy UE,2022/9/20792,Trinkets fantasy,20,0.31270518566047434
12,71131100,5319.0,Italy UE,2022/9/20793,Silver Jewellery,30,0.6754432010266245
13,71131100,5141.7,Italy UE,2022/9/20793,Silver Jewellery,29,0.6529284276590703
14,71179000,8643.38,Italy UE,2022/9/20793,Trinkets fantasy,65,1.097595836602652
15,71179000,1108.12,Italy UE,2022/9/20793,Trinkets fantasy,9,0.1407166986128263
16,71179000,1846.88,Italy UE,2022/9/20793,Trinkets fantasy,15,0.23452952417974288
17,71179000,706.25,Italy UE,2022/9/20793,Trinkets fantasy,3,0.08968448218181116
18,71179000,2831.87,Italy UE,2022/9/20793,Trinkets fantasy,23,0.35961032857515834
19,71179000,2364.0,Italy UE,2022/9/20793,Trinkets fantasy,15,0.30019697823405533
20,71179000,2462.5,Italy UE,2022/9/20793,Trinkets fantasy,20,0.31270518566047434
21,71179000,1108.13,Italy UE,2022/9/20793,Trinkets fantasy,9,0.1407179684816006
22,71179000,11524.5,Italy UE,2022/9/20793,Trinkets fantasy,65,1.4634602688910199
23,71179000,6400.53,Italy UE,2022/9/20793,Trinkets fantasy,38,0.8127833185687048
24,71179000,4432.5,Italy UE,2022/9/20793,Trinkets fantasy,25,0.5628693341888538
25,71179000,573.27,Italy UE,2022/9/20793,Trinkets fantasy,3,0.07279776722175842
26,71179000,3570.62,Italy UE,2022/9/20793,Trinkets fantasy,29,0.4534218842733006
27,71179000,3989.25,Italy UE,2022/9/20793,Trinkets fantasy,30,0.5065824007699684
28,71179000,2462.5,Italy UE,2022/9/20793,Trinkets fantasy,20,0.31270518566047434
29,62034231,5555.4,Italy UE,2022/9/20794,Pants man cotton denim,12,0.70546289885003
30,62043100,1891.2,Italy UE,2022/9/20795,Jacket wool,2,0.2401575825872443
31,61046900,1024.4,Italy UE,2022/9/20795,Pant.maglia di altre mat.tess.,1,0.13008535723475734
32,62105000,3931.14,Italy UE,2022/9/20796,Altri indumenti donna,13,0.4992031933227683
33,62013010,63384.75,Italy UE,2022/9/20797,Giubbotti uomo cotone,150,8.04903147890061
34,62046290,5122.0,Italy UE,2022/9/20797,altri pantaloni donna cotone,16,0.6504267861737866
35,62063000,44332.88,Italy UE,2022/9/20797,Top/shirt woman cotton,116,5.629693998482651
36,61102099,89580.83,Portogallo UE,2022/9/20797,Sweater,235,11.375589878891121
37,61102099,21054.37,Portogallo UE,2022/9/20797,Sweater,95,2.673628702462668
38,61102099,10307.04,Portogallo UE,2022/9/20797,Sweater,32,1.3088588251004813
39,61091000,2371.88,Portogallo UE,2022/9/20797,T-shirt cotton,14,0.30119763482816886
40,61102099,10058.82,Italy UE,2022/9/20797,Sweater,23,1.2773381423859054
41,62043919,784.06,Italy UE,2022/9/20798,Jacket woman synthetic textile,1,0.09956533111429501
42,62034919,6481.3,Italy UE,2022/9/20798,Pants man synthetic text.,14,0.8230400486583684
43,62034235,1038.19,Italy UE,2022/9/20798,Pants/shorts man cotton,2,0.13183650627445598
44,62046185,721.02,Italy UE,2022/9/20798,Shorts woman wool,2,0.09156007836138688
45,62034110,1851.8,Italy UE,2022/9/20798,Wool/fine hairs men trousers,4,0.2351542996166767
46,61102091,80186.88,Italy UE,2022/9/20798,Sweater cotton,192,10.182681501699157
47,61102091,14278.56,Italy UE,2022/9/20798,Sweater cotton,32,1.8131897485336943
48,61102091,15760.0,Portogallo UE,2022/9/20798,Sweater cotton,32,2.0013131882270354
49,61102091,51121.5,Portogallo UE,2022/9/20798,Sweater cotton,150,6.491759654311447
50,61102099,4509.33,Portogallo UE,2022/9/20798,Sweater,14,0.5726257359814606
51,61034200,4178.37,Portogallo UE,2022/9/20798,men's cotton trousers/overall,14,0.5305981590286928
52,61102091,30495.6,Portogallo UE,2022/9/20798,Sweater cotton,80,3.8725410192193137
53,61102091,11054.66,Portogallo UE,2022/9/20798,Sweater cotton,29,1.4037967544013885
54,61091000,31914.0,Portogallo UE,2022/9/20798,T-shirt cotton,150,4.052659206159747
55,61091000,510.23,Portogallo UE,2022/9/20798,T-shirt cotton,2,0.06479251446885029
56,61102091,3782.4,Portogallo UE,2022/9/20799,Sweater cotton,32,0.4803151651744886
57,61102091,1288.38,Portogallo UE,2022/9/20799,Sweater cotton,12,0.16360735313756017
58,61102091,1288.38,Portogallo UE,2022/9/20799,Sweater cotton,12,0.16360735313756017
59,61091000,1235.19,Portogallo UE,2022/9/20799,T-shirt cotton,19,0.15685292112729393
60,61091000,19453.75,Portogallo UE,2022/9/20799,T-shirt cotton,250,2.470370966717747
61,61091000,1478.49,Portogallo UE,2022/9/20799,T-shirt cotton,19,0.1877488284049359
62,61091000,2616.16,Portogallo UE,2022/9/20799,T-shirt cotton,32,0.3322179892456879
63,61091000,9337.8,Portogallo UE,2022/9/20799,T-shirt cotton,120,1.1857780640245186
64,62046231,3350.97,Italy UE,2022/9/20800,Pants cotton denim,9,0.4255292166467734
65,62045300,18659.84,Italy UE,2022/9/20801,Skirt synthetic textile,32,2.3695548148608103
66,62045100,4026.68,Italy UE,2022/9/20801,Skirt wool,8,0.5113355195920076
67,62014010,40779.0,Italy UE,2022/9/20802,Imp/Capp/Giacc.Uomo F.Sint Art,75,5.178397874537454
68,62046318,57327.0,Italy UE,2022/9/20802,Pants woman fibre synthetic,150,7.279776722175842
69,64029996,13831.37,Italy UE,2022/9/20803,Men's shoe plas. rub/pl.sole,34,1.7564024868177524
70,64029996,19526.64,Italy UE,2022/9/20803,Men's shoe plas. rub/pl.sole,48,2.479627040213297
71,64029910,3662.23,China,2022/9/20804,Shoe rubber upp. & rub/pl.sole,11,0.4650551521142574
72,64041990,6170.04,China,2022/9/20805,Shoes fabric & rubb./plas.sole,18,0.7835141131908845
73,64041990,14644.98,China,2022/9/20805,Shoes fabric & rubb./plas.sole,36,1.8597202801599728
74,64041990,12871.98,China,2022/9/20805,Shoes fabric & rubb./plas.sole,36,1.6345725464844314
75,64029998,70795.89,China,2022/9/20805,Women's shoe plas.rub/pl.sole,198,8.990149005664373
76,64029998,25743.96,China,2022/9/20805,Women's shoe plas.rub/pl.sole,72,3.269145092968863
77,64041990,85429.05,China,2022/9/20806,Shoes fabric & rubb./plas.sole,210,10.848368300933176
78,64041990,4290.66,China,2022/9/20806,Shoes fabric & rubb./plas.sole,12,0.5448575154948104
