Commodity Code,Value,Country of Origin,Invoice,Description,Quantity,Net Weight
"71131100",5319,"Italy UE","2022/9/20793","Silver Jewellery","0027",5.6765694348
"71131100",5141.7,"Italy UE","2022/9/20793","Silver Jewellery","30",5.4873504536
"71179000",8643.38,"Italy UE","2022/9/20793","Trinkets fantasy","29",9.2244306676
"71179000",1108.12,"Italy UE","2022/9/20793","Trinkets fantasy","65",1.1826132961
"71179000",1846.88,"Italy UE","2022/9/20793","Trinkets fantasy","9",1.9710363899
"71179000",706.25,"Italy UE","2022/9/20793","Trinkets fantasy","15",0.7537276111
"71179000",2831.87,"Italy UE","2022/9/20793","Trinkets fantasy","0027",3.0222422796
"71179000",2364,"Italy UE","2022/9/20793","Trinkets fantasy","3",2.5229197488
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","23",2.628041405
"71179000",1108.13,"Italy UE","2022/9/20793","Trinkets fantasy","15",1.1826239684
"71179000",11524.5,"Italy UE","2022/9/20793","Trinkets fantasy","20",12.2992337753
"71179000",6400.53,"Italy UE","2022/9/20793","Trinkets fantasy","9",6.8308052198
"71179000",4432.5,"Italy UE","2022/9/20793","Trinkets fantasy","65",4.730474529
"71179000",573.27,"Italy UE","2022/9/20793","Trinkets fantasy","38",0.6118080391
"71179000",3570.62,"Italy UE","2022/9/20793","Trinkets fantasy","25",3.8106547011
"71179000",3989.25,"Italy UE","2022/9/20793","Trinkets fantasy","3",4.2574270761
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","29",2.628041405
