Commodity Code,Value,Country of Origin,Invoice,Description,Quantity
"96151900",10618.3,"Italy UE","2022/9/20791","Pettini/cerchietti altri mat.","110"
"71131100",3014.1,"Italy UE","2022/9/20792","Silver Jewellery","17"
"71131100",1010.61,"Italy UE","2022/9/20792","Silver Jewellery","6"
"71179000",1211.55,"Italy UE","2022/9/20792","Trinkets fantasy","6"
"71179000",1211.55,"Italy UE","2022/9/20792","Trinkets fantasy","6"
"71179000",1329.75,"Italy UE","2022/9/20792","Trinkets fantasy","10"
"71179000",3058.43,"Italy UE","2022/9/20792","Trinkets fantasy","23"
"71179000",2462.5,"Italy UE","2022/9/20792","Trinkets fantasy","20"
"71131100",5319,"Italy UE","2022/9/20793","Silver Jewellery","30"
"71131100",5141.7,"Italy UE","2022/9/20793","Silver Jewellery","29"
"71179000",8643.38,"Italy UE","2022/9/20793","Trinkets fantasy","65"
"71179000",1108.12,"Italy UE","2022/9/20793","Trinkets fantasy","9"
"71179000",1846.88,"Italy UE","2022/9/20793","Trinkets fantasy","15"
"71179000",706.25,"Italy UE","2022/9/20793","Trinkets fantasy","3"
"71179000",2831.87,"Italy UE","2022/9/20793","Trinkets fantasy","23"
"71179000",2364,"Italy UE","2022/9/20793","Trinkets fantasy","15"
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","20"
"71179000",1108.13,"Italy UE","2022/9/20793","Trinkets fantasy","9"
"71179000",11524.5,"Italy UE","2022/9/20793","Trinkets fantasy","65"
"71179000",6400.53,"Italy UE","2022/9/20793","Trinkets fantasy","38"
"71179000",4432.5,"Italy UE","2022/9/20793","Trinkets fantasy","25"
"71179000",573.27,"Italy UE","2022/9/20793","Trinkets fantasy","3"
"71179000",3570.62,"Italy UE","2022/9/20793","Trinkets fantasy","29"
"71179000",3989.25,"Italy UE","2022/9/20793","Trinkets fantasy","30"
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","20"
"62034231",5555.4,"Italy UE","2022/9/20794","Pants man cotton denim","12"
"62043100",1891.2,"Italy UE","2022/9/20795","Jacket wool","2"
"61046900",1040,"Italy UE","2022/9/20795","Pant.maglia di altre mat.tess.","1"
"62105000",3931.14,"Italy UE","2022/9/20796","Altri indumenti donna","13"
"62013010",63384.75,"Italy UE","2022/9/20797","Giubbotti uomo cotone","150"
