Commodity Code,Value,Country of Origin,Invoice,Description,Quantity
"64041990",9653.99,"Italy UE","2022/9/20816","Shoes fabric & rubb./plas.sole","27"
"64041990",6435.99,"Italy UE","2022/9/20816","Shoes fabric & rubb./plas.sole","18"
"64029998",7729.29,"Italy UE","2022/9/20816","Women's shoe plas.rub/pl.sole","19"
"64041990",587.06,"Italy UE","2022/9/20816","Shoes fabric & rubb./plas.sole","2"
"64039198",5343.63,"Italy UE","2022/9/20817","Ladies boots leat.upp/rub sole","7"
"64042090",3882.87,"Italy UE","2022/9/20817","Shoes fabric upper leath.sole","9"
"64029996",771.26,"Italy UE","2022/9/20818","Men's shoe plas. rub/pl.sole","3"
"64029991",2068.5,"Italy UE","2022/9/20819","Kids shoe plast.& pl/rub.sole","28"
"65050030",2414.24,"Italy UE","2022/9/20820","Berretti con visiera","19"
"65050030",1524.78,"Italy UE","2022/9/20820","Berretti con visiera","12"
"42022100",25373.6,"Italy UE","2022/9/20821","Bags leather","32"
"42022100",22852,"Italy UE","2022/9/20821","Bags leather","32"
"42022100",6272.48,"Italy UE","2022/9/20821","Bags leather","8"
"42022290",10578.9,"Italy UE","2022/9/20821","Handbags woven textile","30"
"42033000",3693.75,"Italy UE","2022/9/20821","belts leather / textile","30"
"42033000",5319,"Italy UE","2022/9/20821","belts leather / textile","40"
"64035999",3885.83,"Italy UE","2022/9/20822","Ladies shoes leather upp.&sole","15"
"64041990",84536.64,"Italy UE","2022/9/20822","Shoes fabric & rubb./plas.sole","288"
"64041990",7683,"Italy UE","2022/9/20822","Shoes fabric & rubb./plas.sole","24"
"64041990",5283.54,"Italy UE","2022/9/20822","Shoes fabric & rubb./plas.sole","18"
"64035999",20478.15,"Italy UE","2022/9/20823","Ladies shoes leather upp.&sole","105"
"64035999",1036.22,"Italy UE","2022/9/20823","Ladies shoes leather upp.&sole","4"
"64041990",27530.75,"Italy UE","2022/9/20823","Shoes fabric & rubb./plas.sole","86"
"64041990",6751.19,"Italy UE","2022/9/20823","Shoes fabric & rubb./plas.sole","23"
"64041990",1761.18,"Italy UE","2022/9/20823","Shoes fabric & rubb./plas.sole","6"
"64041990",724.96,"Italy UE","2022/9/20823","Shoes fabric & rubb./plas.sole","2"
"64029910",614.64,"China","2022/9/20809","Shoe rubber upp. & rub/pl.sole","3"
"64029910",6556.16,"China","2022/9/20809","Shoe rubber upp. & rub/pl.sole","32"
"64029998",10011.54,"China","2022/9/20809","Women's shoe plas.rub/pl.sole","28"
"64029998",19307.97,"China","2022/9/20809","Women's shoe plas.rub/pl.sole","54"
"64029998",1146.54,"China","2022/9/20809","Women's shoe plas.rub/pl.sole","3"
"64041990",10170.13,"China","2022/9/20809","Shoes fabric & rubb./plas.sole","25"
"64029998",7508.65,"China","2022/9/20809","Women's shoe plas.rub/pl.sole","21"
"64041990",4290.66,"China","2022/9/20809","Shoes fabric & rubb./plas.sole","12"
"64041990",685.56,"China","2022/9/20809","Shoes fabric & rubb./plas.sole","2"
"64041990",4290.66,"China","2022/9/20809","Shoes fabric & rubb./plas.sole","12"
"64041990",2466.44,"China","2022/9/20809","Shoes fabric & rubb./plas.sole","8"
"64029998",1146.54,"China","2022/9/20809","Women's shoe plas.rub/pl.sole","3"
"64029996",22525.97,"China","2022/9/20810","Men's shoe plas. rub/pl.sole","63"
"64029996",4068.05,"China","2022/9/20810","Men's shoe plas. rub/pl.sole","10"
"64029996",5695.27,"China","2022/9/20810","Men's shoe plas. rub/pl.sole","14"
"64041990",3028.88,"China","2022/9/20811","Shoes fabric & rubb./plas.sole","15"
"64041990",7067.37,"China","2022/9/20811","Shoes fabric & rubb./plas.sole","35"
"64041990",3644.5,"Serbia","2022/9/20811","Shoes fabric & rubb./plas.sole","25"
"64041990",403.85,"China","2022/9/20811","Shoes fabric & rubb./plas.sole","2"
"42022100",2378.78,"Italy UE","2022/9/20812","Bags leather","3"
"42023100",2133.51,"Italy UE","2022/9/20813","small leather goods","19"
"42023100",1128.81,"Italy UE","2022/9/20813","small leather goods","6"
"64041990",3815.89,"Italy UE","2022/9/20814","Shoes fabric & rubb./plas.sole","13"
"42022100",5973.04,"Italy UE","2022/9/20815","Bags leather","8"
