Commodity Code,Value,Country of Origin,Invoice,Description,Quantity,Net Weight
"62043100",1891.2,"Italy UE","2022/9/20795","Jacket wool","1",4.79
"62105000",3931.14,"Italy UE","2022/9/20796","Altri indumenti donna","13",4.9
"62013010",63384.75,"Italy UE","2022/9/20797","Giubbotti uomo cotone","0102",216.2595514817
"62046290",89580.83,"Italy UE","2022/9/20797","altri pantaloni donna cotone","150",305.6367677897
"61102099",21054.37,"Portogallo UE","2022/9/20797","Sweater","116",71.834449342
"61102099",10058.82,"Italy UE","2022/9/20797","Sweater","16",34.3192313867
"62043919",796,"Italy UE","2022/9/20798","Jacket woman synthetic textile","1",2.1118734377
"62034919",6481.3,"Italy UE","2022/9/20798","Pants man synthetic text.","14",17.1955845624
"62034110",1851.8,"Italy UE","2022/9/20798","Wool/fine hairs men trousers","2",4.9130241607
"61102091",80186.88,"Italy UE","2022/9/20798","Sweater cotton","4",212.744399401
"61102091",14278.56,"Italy UE","2022/9/20798","Sweater cotton","192",37.8825522518
"61102091",15760,"Portogallo UE","2022/9/20798","Sweater cotton","32",41.8129715804
"61102091",51121.5,"Portogallo UE","2022/9/20798","Sweater cotton","32",135.6308265639
"61102099",4509.33,"Portogallo UE","2022/9/20798","Sweater","150",11.9637364934
"61034200",4178.37,"Portogallo UE","2022/9/20798","men's cotton trousers/overall","14",11.0856640903
"61102091",30495.6,"Portogallo UE","2022/9/20798","Sweater cotton","14",80.9081000081
"61091000",31914,"Portogallo UE","2022/9/20798","T-shirt cotton","29",84.6712674503
"61102091",3782.4,"Portogallo UE","2022/9/20799","Sweater cotton","32",10.8049681287
"61102091",1288.38,"Portogallo UE","2022/9/20799","Sweater cotton","12",3.6804422688
"61102091",1288.38,"Portogallo UE","2022/9/20799","Sweater cotton","12",3.6804422688
"61091000",19453.75,"Portogallo UE","2022/9/20799","T-shirt cotton","19",55.5724272245
"61091000",1478.49,"Portogallo UE","2022/9/20799","T-shirt cotton","19",4.2235187523
"61091000",2616.16,"Portogallo UE","2022/9/20799","T-shirt cotton","32",7.473436289
"61091000",9337.8,"Portogallo UE","2022/9/20799","T-shirt cotton","120",26.6747650678
"42023100",572.29,"Italy UE","2022/9/20788","small leather goods","7",1.81
"71179000",3152,"Italy UE","2022/9/20789","Trinkets fantasy","20",2.7
"71131100",677.68,"Italy UE","2022/9/20790","Silver Jewellery","0027",1.0254545455
"71179000",254.13,"Italy UE","2022/9/20790","Trinkets fantasy","4",0.3845454545
"96151900",10618.3,"Italy UE","2022/9/20791","Pettini/cerchietti altri mat.","110",15.51
"71131100",3014.1,"Italy UE","2022/9/20792","Silver Jewellery","0027",3.6082646977
"71131100",1010.61,"Italy UE","2022/9/20792","Silver Jewellery","17",1.2098299281
"71179000",1211.55,"Italy UE","2022/9/20792","Trinkets fantasy","6",1.4503809079
"71179000",1211.55,"Italy UE","2022/9/20792","Trinkets fantasy","0027",1.4503809079
"71179000",1329.75,"Italy UE","2022/9/20792","Trinkets fantasy","6",1.5918814843
"71179000",3058.43,"Italy UE","2022/9/20792","Trinkets fantasy","6",3.6613333995
"71179000",2462.5,"Italy UE","2022/9/20792","Trinkets fantasy","10",2.9479286746
"71131100",5319,"Italy UE","2022/9/20793","Silver Jewellery","0027",5.6765694348
"71131100",5141.7,"Italy UE","2022/9/20793","Silver Jewellery","30",5.4873504536
"71179000",8643.38,"Italy UE","2022/9/20793","Trinkets fantasy","29",9.2244306676
"71179000",1108.12,"Italy UE","2022/9/20793","Trinkets fantasy","65",1.1826132961
"71179000",1846.88,"Italy UE","2022/9/20793","Trinkets fantasy","9",1.9710363899
"71179000",706.25,"Italy UE","2022/9/20793","Trinkets fantasy","15",0.7537276111
"71179000",2831.87,"Italy UE","2022/9/20793","Trinkets fantasy","0027",3.0222422796
"71179000",2364,"Italy UE","2022/9/20793","Trinkets fantasy","3",2.5229197488
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","23",2.628041405
"71179000",1108.13,"Italy UE","2022/9/20793","Trinkets fantasy","15",1.1826239684
"71179000",11524.5,"Italy UE","2022/9/20793","Trinkets fantasy","20",12.2992337753
"71179000",6400.53,"Italy UE","2022/9/20793","Trinkets fantasy","9",6.8308052198
"71179000",4432.5,"Italy UE","2022/9/20793","Trinkets fantasy","65",4.730474529
"71179000",573.27,"Italy UE","2022/9/20793","Trinkets fantasy","38",0.6118080391
"71179000",3570.62,"Italy UE","2022/9/20793","Trinkets fantasy","25",3.8106547011
"71179000",3989.25,"Italy UE","2022/9/20793","Trinkets fantasy","3",4.2574270761
"71179000",2462.5,"Italy UE","2022/9/20793","Trinkets fantasy","29",2.628041405
"62034231",5555.4,"Italy UE","2022/9/20794","Pants man cotton denim","12",14.9
